Возраст,Пол,Состоит в браке,Иждивенцы,Доход,Опыт работы,Срок проживания,Недвижимость,Месячный платеж,target
0.16216216216216217,0.0,1.0,0.0,0.18157894736842106,0.22580645161290322,0.10204081632653061,0.0,0.3626529167930442,1
0.4594594594594595,1.0,1.0,0.25,0.3,0.4838709677419355,0.08163265306122448,0.0,0.2124153270650086,0
0.24324324324324326,1.0,0.0,0.5,0.12894736842105264,0.2903225806451613,0.02040816326530612,0.0,0.2797492670104135,1
0.32432432432432434,1.0,0.0,0.25,0.2131578947368421,0.41935483870967744,0.0,0.45555555555555555,0.29531897684763925,0
0.6486486486486487,0.0,1.0,0.5,0.16842105263157894,0.5806451612903226,0.12244897959183673,0.0,0.3021939136588818,0
0.21621621621621623,0.0,1.0,0.5,0.19473684210526315,0.3225806451612903,0.5714285714285714,0.3888888888888889,0.4299868567384491,1
0.6756756756756757,1.0,0.0,0.5,0.15263157894736842,0.45161290322580644,0.08163265306122448,0.7444444444444445,0.2538671519563239,1
0.2972972972972973,1.0,0.0,0.5,0.27631578947368424,0.41935483870967744,0.42857142857142855,0.0,0.17096350217369324,0
0.0,1.0,0.0,0.0,0.8394736842105263,0.06451612903225806,0.3469387755102041,0.36666666666666664,0.2227277322818724,0
0.21621621621621623,1.0,1.0,0.25,0.8131578947368421,0.25806451612903225,0.12244897959183673,0.0,0.16065109695682944,0
0.10810810810810811,1.0,1.0,0.25,0.3,0.1935483870967742,0.0,0.34444444444444444,0.5233040137498737,0
0.7027027027027027,1.0,0.0,0.5,0.5763157894736842,0.6451612903225806,0.7755102040816326,0.4444444444444444,0.15023758972803558,0
0.40540540540540543,1.0,1.0,0.25,0.2736842105263158,0.4838709677419355,0.08163265306122448,0.2,0.20725912445657668,0
0.13513513513513514,1.0,1.0,0.25,0.05,0.22580645161290322,0.08163265306122448,0.0,0.3989485390759276,1
0.8918918918918919,1.0,1.0,0.25,0.08947368421052632,0.3548387096774194,0.673469387755102,0.3111111111111111,0.3056313820645031,1
0.4594594594594595,0.0,0.0,0.25,0.15526315789473685,0.12903225806451613,0.12244897959183673,0.0,0.4508138711960368,1
0.1891891891891892,1.0,1.0,0.25,0.23421052631578948,0.2903225806451613,0.5510204081632653,0.4222222222222222,0.49226569608735216,0
0.3783783783783784,1.0,0.0,0.25,0.25,0.5161290322580645,0.22448979591836735,0.0,0.40582347588717016,0
0.2702702702702703,1.0,1.0,0.25,0.16842105263157894,0.3870967741935484,0.5306122448979592,0.0,0.17611970478212516,0
0.35135135135135137,0.0,0.0,0.0,0.06315789473684211,0.45161290322580644,0.6326530612244898,0.0,0.15711252653927812,1
0.6486486486486487,1.0,1.0,0.25,0.18157894736842106,0.45161290322580644,0.5306122448979592,0.0,0.03629562228288343,0
